_id,last_update,risk_score,risk_category,aqi,pm10,pm25,o3,humidity_mean,temperature_mean,wind_mean,uv_index,timestamp_saved
692d4383646c178b92fd05fb,2025-12-01 14:28:03,52.5969696969697,Sedang,58.516129032258064,22.181818181818183,65.63636363636364,18.4375,65.60606060606061,30.066666666666663,9.133333333333336,6.045454545454546,2025-12-01 07:28:03.540
692d4475ca7fd665a09cb38c,2025-12-01 14:32:05,52.18787878787879,Sedang,57.96774193548387,21.848484848484848,65.12121212121212,18.4375,65.60606060606061,30.066666666666663,9.133333333333336,6.045454545454546,2025-12-01 07:32:05.521
692d47faca7fd665a09cb3f0,2025-12-01 14:47:05,52.18787878787879,Sedang,57.96774193548387,21.848484848484848,65.12121212121212,18.4375,65.60606060606061,30.066666666666663,9.133333333333336,6.045454545454546,2025-12-01 07:47:06.060
692d4b7eca7fd665a09cb454,2025-12-01 15:02:06,52.18787878787879,Sedang,57.96774193548387,21.848484848484848,65.12121212121212,18.4375,65.60606060606061,30.066666666666663,9.133333333333336,6.045454545454546,2025-12-01 08:02:06.518
692da59a76b99e0ca294b2c2,2025-12-01 21:26:33,54.43636363636364,Sedang,58.935483870967744,22.24242424242424,65.48484848484848,18.65625,84.72727272727273,25.1,8.799999999999999,0.2151515151515151,2025-12-01 14:26:34.516
692da5c837fd6e7ea78754fb,2025-12-01 21:27:19,54.43636363636364,Sedang,58.935483870967744,22.24242424242424,65.48484848484848,18.65625,84.72727272727273,25.1,8.799999999999999,0.2151515151515151,2025-12-01 14:27:20.376
692e043a2efcf42feeb620d7,2025-12-02 04:10:17,54.23636363636364,Sedang,58.67741935483871,22.060606060606062,65.24242424242425,18.65625,84.72727272727273,25.1,8.799999999999999,0.2151515151515151,2025-12-01 21:10:18.401
692e06945d5be3c7e13e728f,2025-12-02 04:20:20,55.87272727272728,Sedang,59.96774193548387,22.57575757575757,66.63636363636364,18.59375,91.1818181818182,23.954545454545453,6.6454545454545455,0.0,2025-12-01 21:20:20.968
692e0a195d5be3c7e13e72f3,2025-12-02 04:35:21,55.87272727272728,Sedang,59.96774193548387,22.57575757575757,66.63636363636364,18.59375,91.1818181818182,23.954545454545453,6.6454545454545455,0.0,2025-12-01 21:35:21.832
692e0acd9b83f798173bd94e,2025-12-02 04:38:21,55.88181818181818,Sedang,60.0,22.545454545454547,66.66666666666667,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 21:38:21.773
692e0b48b5c2dfd9128465ee,2025-12-02 04:40:24,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 21:40:24.432
692e0ecdb5c2dfd912846653,2025-12-02 04:55:25,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 21:55:25.748
692e1252b5c2dfd9128466b8,2025-12-02 05:10:26,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 22:10:26.854
692e15d8b5c2dfd91284671d,2025-12-02 05:25:27,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 22:25:28.168
692e195db5c2dfd912846782,2025-12-02 05:40:28,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 22:40:29.357
692e1ce2b5c2dfd9128467e7,2025-12-02 05:55:30,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 22:55:30.432
692e2067b5c2dfd91284684c,2025-12-02 06:10:31,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 23:10:31.470
692e23ecb5c2dfd9128468b1,2025-12-02 06:25:32,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 23:25:32.752
692e2772b5c2dfd912846916,2025-12-02 06:40:33,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 23:40:34.198
692e2af7b5c2dfd91284697b,2025-12-02 06:55:34,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-01 23:55:35.243
692e2e7bb5c2dfd9128469e0,2025-12-02 07:10:35,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-02 00:10:35.875
692e3200b5c2dfd912846a45,2025-12-02 07:25:36,55.53636363636364,Sedang,59.45161290322581,22.424242424242426,66.15151515151516,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-02 00:25:36.197
692e467175fe0d5b83e08b95,2025-12-02 08:52:49,55.58181818181818,Sedang,59.516129032258064,22.454545454545453,66.21212121212122,18.59375,91.1818181818182,23.924242424242426,6.6454545454545455,0.0,2025-12-02 01:52:49.491
692e514ad369c7c02f519b21,2025-12-02 09:39:05,53.68484848484847,Sedang,58.80645161290322,21.90909090909091,65.36363636363636,18.59375,78.93939393939394,27.19393939393939,7.242424242424243,2.387878787878788,2025-12-02 02:39:06.514
